0.000	1	1	1	1	0.5	0.5
0.200	8.826	7.527	7.644	7.644	0.5	0.5
0.299	12.854	12.128	10.948	10.948	0.5	0.5
0.501	22.217	21.895	16.341	16.341	0.5	0.5
0.648	29.683	29.431	20.705	20.705	0.5	0.5
0.701	36.480	36.085	26.270	26.270	0.5	0.5
0.750	41.667	41.344	33.551	33.551	1.0	1.0
1.002	66.261	65.696	74.240	74.240	1.0	1.0
1.120	78.696	77.863	91.839	91.839	1.0	1.0
1.252	94.388	92.666	108.822	108.822	1.0	1.0
1.501	125.436	122.434	137.685	137.685	1.0	1.0
1.751	157.212	152.931	165.815	165.815	1.0	1.0
2.001	189.067	183.669	193.458	193.458	1.0	1.0
2.252	221.190	214.709	220.977	220.977	1.0	1.0
2.504	253.437	245.888	248.329	248.329	1.0	1.0
2.602	266.127	258.149	259.035	259.035	1.0	1.0
2.711	285.438	268.379	269.073	269.073	1.0	1.0
3.000	323.100	304.000	300.077	300.077	1.000	1.000
